order b1 b2 b3
1  1.97225908e+04  7.03542921e-02 -6.53000501e-07
2  1.98740933e+04  6.74723783e-02 -6.97486348e-07
3  2.00185451e+04  6.45432965e-02 -7.75045682e-07
4  2.04534143e+04  7.29229092e-02 -7.32727288e-07
5  2.06099018e+04  7.03752454e-02 -1.03950721e-06
6  2.07632852e+04  6.04475095e-02  2.22877281e-06
7  2.12399921e+04  7.58566605e-02 -7.58521621e-07
8  2.14030538e+04  7.25438110e-02 -7.44830902e-07
9  2.15585731e+04  6.93084925e-02 -8.26677400e-07
10  2.20896091e+04  7.85713618e-02 -6.95044510e-07
11  2.22588223e+04  7.53878759e-02 -7.66649057e-07
12  2.24204890e+04  7.19696964e-02 -8.23225688e-07
13  2.30092256e+04  8.21592806e-02 -8.81335916e-07
14  2.31854995e+04  7.84916862e-02 -8.06255367e-07
15  2.33537952e+04  7.49569931e-02 -8.87271906e-07
16  2.40088394e+04  8.51597767e-02 -7.33016202e-07
17  2.41922353e+04  8.18330192e-02 -8.55856531e-07
18  0.00000000e+00  0.00000000e+00  0.00000000e+00

